QueryNumber;QueryText
00022;['WHAT', 'IS', 'THE', 'FREQUENC', 'OF', 'CF', 'IN', 'NON-CAUCASIAN', 'POPUL']
00029;['WHAT', 'IS', 'THE', 'PATHOLOG', 'OF', 'THE', 'REPRODUCT', 'SYSTEM', 'MALE', 'OR', 'FEMAL', 'IN', 'CF']
00030;['WHAT', 'ARE', 'THE', 'RESULT', 'OF', 'GENET', 'COUNSEL', 'OF', 'FAMILI', 'OF', 'CHILDREN', 'WITH', 'CF']
00042;['WHAT', 'ABNORM', 'OF', 'INSULIN', 'SECRET', 'OR', 'INSULIN', 'METABOL', 'OCCUR', 'IN', 'CF', 'PATIENT']
00073;['HOW', 'EFFECT', 'IS', 'BRONCHIAL', 'LAVAG', 'IN', 'CF', 'PATIENT']
00081;['HOW', 'EFFECT', 'ARE', 'INHAL', 'OF', 'MUCOLYT', 'AGENT', 'IN', 'THE', 'TREATMENT', 'OF', 'CF', 'PATIENT']
00098;['WHAT', 'ARE', 'THE', 'EFFECT', 'OF', 'CF', 'ON', 'THE', 'DEVELOP', 'AND/OR', 'FUNCTION', 'OF', 'THE', 'BRAIN', 'AND', 'CENTRAL', 'NERVOU', 'SYSTEM']
00054;['WHAT', 'IS', 'THE', 'RELATIONSHIP', 'OF', 'ALLERGI', 'OR', 'HYPERSENSIT', 'TO', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00071;['WHAT', 'IS', 'THE', 'PROGNOSI', 'FOR', 'INFANT', 'WITH', 'WHEEZ', 'AND', 'CYSTIC', 'FIBROSI']
00069;['WHAT', 'IS', 'THE', 'BEST', 'WAY', 'TO', 'TREAT', 'PNEUMOTHORAX', 'IN', 'CF', 'PATIENT']
00034;['WHAT', 'ALTERN', 'TECHNIQU', 'OTHER', 'THAN', 'THE', 'CLASSIC', 'GIBSON-COOK', 'QUANTIT', 'PILOCARPIN', 'IONTOPHORESI', 'TEST', 'WITH', 'TITRIMETR', 'ANALYSI', 'OF', 'CHLORID', 'ARE', 'AVAIL', 'FOR', 'SWEAT', 'TEST', 'WHAT', 'ARE', 'THEIR', 'REL', 'ADVANTAG', 'AND', 'DISADVANTAG']
00087;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'FUNGI', 'IN', 'THE', 'PATHOGENESI', 'OF', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00021;['DOE', 'PANCREAT', 'INSUFFICI', 'IN', 'CF', 'PATIENT', 'AFFECT', 'THEIR', 'ABIL', 'TO', 'ABSORB', 'OR', 'METABOL', 'IRON']
00072;['WHAT', 'IS', 'THE', 'BEST', 'TREATMENT', 'FOR', 'NASAL', 'POLYP', 'IN', 'CF', 'PATIENT']
00016;['WHAT', 'ARE', 'THE', 'GASTROINTESTIN', 'COMPLIC', 'OF', 'CF', 'AFTER', 'THE', 'NEONAT', 'PERIOD', 'EXCLUD', 'LIVER', 'DISEAS', 'AND', 'MECONIUM', 'ILEU']
00008;['WHAT', 'HISTOCHEM', 'DIFFER', 'HAVE', 'BEEN', 'DESCRIB', 'BETWEEN', 'NORMAL', 'AND', 'CF', 'RESPIRATORI', 'EPITHELIA']
00060;['WHAT', 'ARE', 'THE', 'EFFECT', 'OF', 'CF', 'ON', 'THE', 'PULMONARI', 'CIRCUL']
00006;['WHAT', 'IS', 'THE', 'EFFECT', 'OF', 'WATER', 'OR', 'OTHER', 'THERAPEUT', 'AGENT', 'ON', 'THE', 'PHYSIC', 'PROPERTI', 'VISCOS', 'ELAST', 'OF', 'SPUTUM', 'OR', 'BRONCHIAL', 'SECRET', 'FROM', 'CF', 'PATIENT']
00002;['CAN', 'ONE', 'DISTINGUISH', 'BETWEEN', 'THE', 'EFFECT', 'OF', 'MUCU', 'HYPERSECRET', 'AND', 'INFECT', 'ON', 'THE', 'SUBMUCOS', 'GLAND', 'OF', 'THE', 'RESPIRATORI', 'TRACT', 'IN', 'CF']
00014;['WHAT', 'NON-INVAS', 'TEST', 'CAN', 'BE', 'PERFORM', 'FOR', 'THE', 'EVALU', 'OF', 'EXOCRIN', 'PANCREAT', 'FUNCTION', 'IN', 'PATIENT', 'WITH', 'CF']
00049;['IS', 'RNA', 'METHYL', 'OR', 'POLYAMIN', 'METABOL', 'NORMAL', 'IN', 'CF', 'PATIENT']
00003;['HOW', 'ARE', 'SALIVARI', 'GLYCOPROTEIN', 'FROM', 'CF', 'PATIENT', 'DIFFER', 'FROM', 'THOSE', 'OF', 'NORMAL', 'SUBJECT']
00080;['WHAT', 'IS', 'THE', 'EVID', 'THAT', 'COMBIN', 'THERAPI', 'WITH', 'AMINOGLYCOSID', 'AND', 'SEMISYNTHET', 'PENICILLIN', 'IS', 'MORE', 'EFFECT', 'THAN', 'THERAPI', 'WITH', 'EITHER', 'ALON']
00048;['DO', 'FIBROBLAST', 'FROM', 'CF', 'PATIENT', 'GROW', 'AT', 'A', 'NORMAL', 'RATE']
00032;['WHAT', 'FACTOR', 'INFLUENC', 'COMPLIANC', 'WITH', 'PRESCRIB', 'THERAPI', 'IN', 'CF', 'PATIENT']
00010;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'VITAMIN', 'E', 'IN', 'THE', 'THERAPI', 'OF', 'PATIENT', 'WITH', 'CF']
00100;['WHAT', 'IS', 'THE', 'INCID', 'OF', 'AND', 'TREATMENT', 'FOR', 'HYPERTROPH', 'OSTEOARTHROPATHI', 'IN', 'CF', 'PATIENT']
00052;['WHAT', 'IS', 'KNOWN', 'ABOUT', 'PROLACTIN', 'IN', 'CF', 'PATIENT']
00025;['WHAT', 'EVID', 'IS', 'THERE', 'THAT', 'THE', 'GENET', 'BASI', 'FOR', 'CF', 'INVOLV', 'MORE', 'THAN', 'ONE', 'GENE']
00062;['WHAT', 'ARE', 'THE', 'CLINIC', 'FEATUR', 'OF', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00050;['WHAT', 'DEFECT', 'IN', 'THE', 'SYNTHESI', 'OR', 'METABOL', 'OF', 'CYCLIC', 'NUCLEOTID', 'HAVE', 'BEEN', 'DESCRIB', 'IN', 'CF', 'PATIENT']
00074;['WHAT', 'ARE', 'THE', 'RESULT', 'OF', 'MECHAN', 'VENTIL', 'IN', 'CF', 'PATIENT', 'WITH', 'RESPIRATORI', 'FAILUR']
00024;['WHAT', 'ARE', 'THE', 'CHARACTERIST', 'OF', 'PATIENT', 'IN', 'WHOM', 'CF', 'IS', 'INCOMPLET', 'MANIFEST']
00068;['WHAT', 'ARE', 'THE', 'EFFECT', 'OF', 'BRONCHODIL', 'IN', 'CF', 'PATIENT']
00043;['IS', 'SALT', 'SODIUM', 'AND/OR', 'CHLORID', 'TRANSPORT/PERM', 'ABNORM', 'IN', 'CF']
00046;['WHAT', 'ARE', 'THE', 'PROPERTI', 'AND', 'ACTIV', 'OF', 'GALACTOSYLTRANSFERAS', 'ENZYM', 'FROM', 'CF', 'PATIENT']
00047;['WHAT', 'DIFFER', 'BETWEEN', 'NORMAL', 'SUBJECT', 'AND', 'CF', 'PATIENT', 'HAVE', 'BEEN', 'DESCRIB', 'IN', 'THE', 'FUNCTION', 'OR', 'METABOL', 'OF', 'HORMON']
00011;['WHAT', 'IS', 'THE', 'DIFFER', 'BETWEEN', 'MECONIUM', 'ILEU', 'AND', 'MECONIUM', 'PLUG', 'SYNDROM']
00044;['WHAT', 'STRUCTUR', 'OR', 'ENZYMAT', 'DIFFER', 'ARE', 'THERE', 'BETWEEN', 'FIBROBLAST', 'FROM', 'CF', 'PATIENT', 'AND', 'NON-CF', 'PATIENT']
00059;['WHAT', 'IMMUNOLOG', 'ABNORM', 'HAVE', 'BEEN', 'FOUND', 'IN', 'CF', 'PATIENT']
00057;['WHAT', 'IS', 'THE', 'PATHOPHYSIOLOG', 'ROLE', 'OF', 'CIRCUL', 'ANTIBODI', 'TO', 'PSEUDOMONA', 'AERUGINOSA', 'IN', 'CF', 'PATIENT']
00018;['IS', 'DIETARI', 'SUPPLEMENT', 'WITH', 'BILE', 'SALT', 'OF', 'THERAPEUT', 'BENEFIT', 'TO', 'CF', 'PATIENT']
00053;['DOE', 'SECRETORI', 'IGA', 'PROTECT', 'CF', 'PATIENT', 'AGAINST', 'BACTERI', 'COLON', 'OR', 'INFECT']
00035;['HA', 'ANI', 'CF', 'PATIENT', 'BEEN', 'FOUND', 'TO', 'HAVE', 'CONSIST', 'NORMAL', 'SWEAT', 'TEST']
00056;['WHAT', 'IS', 'THE', 'RELATIONSHIP', 'BETWEEN', 'NUTRIT', 'AND', 'PULMONARI', 'HOST', 'DEFENS', 'AGAINST', 'BACTERI', 'INFECT', 'IN', 'CF', 'PATIENT']
00040;['OTHER', 'THAN', 'THE', 'SWEAT', 'TEST', 'WHAT', 'TECHNIQU', 'MAY', 'BE', 'USE', 'BEYOND', 'THE', 'NEONAT', 'PERIOD', 'FOR', 'THE', 'DIAGNOSI', 'OF', 'CF']
00097;['IS', 'OXYGEN', 'TRANSPORT', 'BY', 'RED', 'BLOOD', 'CELL', 'ABNORM', 'IN', 'CF', 'PATIENT']
00001;['WHAT', 'ARE', 'THE', 'EFFECT', 'OF', 'CALCIUM', 'ON', 'THE', 'PHYSIC', 'PROPERTI', 'OF', 'MUCU', 'FROM', 'CF', 'PATIENT']
00064;['HOW', 'DOE', 'LUNG', 'FUNCTION', 'CHANG', 'WITH', 'TIME', 'IN', 'CF', 'PATIENT', 'TIME', 'PERIOD', 'GREATER', 'THAN', 'A', 'DAY']
00020;['WHAT', 'IS', 'THE', 'EFFECT', 'OF', 'TREATMENT', 'OF', 'CF', 'PATIENT', 'WITH', 'ESSENTI', 'FATTI', 'ACID', 'SUPPLEMENT']
00009;['WHAT', 'IS', 'THE', 'ASSOCI', 'BETWEEN', 'LIVER', 'DISEAS', 'CIRRHOSI', 'AND', 'VITAMIN', 'A', 'METABOL', 'IN', 'CF']
00083;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'BACTERI', 'PHAGOCYTOSI', 'BY', 'ALVEOLAR', 'MACROPHAG', 'OR', 'POLYMORPHONUCLEAR', 'LEUKOCYT', 'IN', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00086;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'BACTERIA', 'OTHER', 'THAN', 'PSEUDOMONA', 'AERUGINOSA', 'STAPHYLOCOCCU', 'AUREU', 'OR', 'HAEMOPHILU', 'INFLUENZA', 'IN', 'THE', 'PATHOGENESI', 'OF', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00004;['WHAT', 'IS', 'THE', 'LIPID', 'COMPOSIT', 'OF', 'CF', 'RESPIRATORI', 'SECRET']
00033;['WHAT', 'CONDIT', 'OR', 'FACTOR', 'LEAD', 'TO', 'ERRON', 'SWEAT', 'TEST']
00061;['IS', 'THERE', 'A', 'DEFECT', 'IN', 'MUCOCILIARI', 'TRANSPORT', 'CLEARANC', 'IN', 'THE', 'RESPIRATORI', 'TRACT', 'OF', 'CF', 'PATIENT']
00088;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'VIRAL', 'INFECT', 'IN', 'THE', 'LUNG', 'DISEAS', 'OF', 'CF', 'PATIENT']
00099;['ARE', 'THERE', 'ABNORM', 'OF', 'TAST', 'IN', 'CF', 'PATIENT']
00095;['WHAT', 'ABNORM', 'OF', 'SKELET', 'MUSCL', 'FUNCTION', 'OR', 'STRUCTUR', 'HAVE', 'BEEN', 'FOUND', 'IN', 'CF', 'PATIENT']
00019;['WHAT', 'COMPLIC', 'OF', 'PANCREAT', 'ENZYM', 'THERAPI', 'HAVE', 'BEEN', 'REPORT', 'IN', 'CF', 'PATIENT']
00079;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'ORAL', 'ADMINIST', 'ANTIBIOT', 'IN', 'THE', 'TREATMENT', 'OF', 'CF', 'PATIENT']
00089;['WHAT', 'IS', 'THE', 'EPIDEMIOLOG', 'OF', 'PSEUDOMONA', 'AERUGINOSA', 'IN', 'CF', 'PATIENT', 'SPECIF', 'DO', 'CF', 'PATIENT', 'SPREAD', 'PSEUDOMONA', 'AERUGINOSA', 'TO', 'OTHER', 'PATIENT', 'OR', 'TO', 'OTHER', 'INDIVIDU', 'FAMILI']
00067;['WHAT', 'IS', 'THE', 'PROGNOSI', 'FOR', 'PATIENT', 'WHO', 'HAVE', 'HAD', 'AN', 'EPISOD', 'OF', 'RESPIRATORI', 'FAILUR']
00082;['WHAT', 'IS', 'THE', 'ROLE', 'OF', 'AEROSOL', 'IN', 'THE', 'TREATMENT', 'OF', 'LUNG', 'DISEAS', 'IN', 'CF', 'PATIENT']
00007;['ARE', 'MUCU', 'GLYCOPROTEIN', 'DEGRAD', 'DIFFER', 'IN', 'CF', 'PATIENT', 'AS', 'COMPAR', 'TO', 'THOSE', 'FROM', 'NORMAL', 'SUBJECT']
00065;['WHAT', 'ARE', 'THE', 'ABNORM', 'OF', 'PULMONARI', 'FUNCTION', 'IN', 'CF', 'PATIENT']
00090;['WHAT', 'FACTOR', 'ARE', 'RESPONS', 'FOR', 'THE', 'APPEAR', 'OF', 'MUCOID', 'STRAIN', 'OF', 'PSEUDOMONA', 'AERUGINOSA', 'IN', 'CF', 'PATIENT']
00036;['WHAT', 'IS', 'THE', 'CONCENTR', 'OF', 'POTASSIUM', 'IN', 'SWEAT', 'FROM', 'CF', 'PATIENT']
00055;['WHAT', 'ARE', 'THE', 'INTERACT', 'BETWEEN', 'PROTEAS', 'ENDOGEN', 'OR', 'BACTERI', 'ORIGIN', 'AND', 'ANTIPROTEAS', 'IN', 'THE', 'LUNG', 'OF', 'CF', 'PATIENT']
00045;['WHAT', 'ABNORM', 'OF', 'PROSTAGLANDIN', 'METABOL', 'HAVE', 'BEEN', 'DESCRIB', 'IN', 'CF', 'PATIENT']
00085;['DO', 'CF', 'PATIENT', 'EVER', 'DEVELOP', 'INFECT', 'IN', 'ORGAN', 'OTHER', 'THAN', 'THE', 'LUNG', 'IF', 'SO', 'IN', 'WHAT', 'ORGAN']
00076;['WHAT', 'ARE', 'THE', 'EFFECT', 'OF', 'EXERCIS', 'TRAIN', 'PROGRAM', 'ON', 'LUNG', 'FUNCTION', 'IN', 'CF', 'PATIENT']
00063;['WHAT', 'ARE', 'THE', 'BIOCHEM', 'OR', 'MICROSCOP', 'CHARACTERIST', 'OF', 'AIRWAY', 'INFLAMM', 'IN', 'CF', 'PATIENT']
00084;['WHAT', 'IS', 'THE', 'RELATIONSHIP', 'BETWEEN', 'HAEMOPHILU', 'INFLUENZA', 'AND', 'PSEUDOMONA', 'AERUGINOSA', 'IN', 'CF', 'PATIENT']
00094;['WHAT', 'ANIM', 'MODEL', 'ARE', 'AVAIL', 'WHICH', 'ARE', 'RELEV', 'TO', 'CF']
00091;['WHAT', 'ARE', 'THE', 'UNUSU', 'MANIFEST', 'OF', 'CF', 'OTHER', 'THAN', 'LUNG', 'DISEAS', 'OR', 'EXOCRIN', 'PANCREAT', 'INSUFFICI']
00078;['WHAT', 'SPECIAL', 'CONSIDER', 'ARE', 'THERE', 'FOR', 'TREATMENT', 'OF', 'CF', 'PATIENT', 'WITH', 'ANTIBIOT', 'IE', 'ARE', 'THE', 'PHARMACODYNAM', 'OF', 'ANTIBIOT', 'DIFFER', 'IN', 'CF', 'PATIENT', 'OR', 'ARE', 'THERE', 'OTHER', 'SPECIAL', 'PROBLEM', 'PECULIAR', 'TO', 'CF']
00005;['IS', 'CF', 'MUCU', 'ABNORM']
